machine_id,timestamp,vibration,sound,temperature,state,health_score,risk_level,trend,anomaly,probable_fault,recommendation,vibration_mean,vibration_std,sound_mean,sound_std,temperature_mean,temperature_change,vibration_change,sound_change
M001,2026-08-17 11:21:47,0.311,235.013,28.0,NORMAL,100.0,LOW,STABLE,0,NONE,Continue normal monitoring.,0.311,0.0,235.013,0.0,28.0,0.0,0.0,0.0
M001,2026-08-17 11:21:49,0.106,259.395,28.0,NORMAL,100.0,LOW,STABLE,0,NONE,Continue normal monitoring.,0.2085,0.14495689014324223,247.204,17.240677538890374,28.0,0.0,-0.20500000000000002,24.381999999999977
M001,2026-08-17 11:21:51,0.307,251.727,28.0,NORMAL,100.0,LOW,STABLE,0,NONE,Continue normal monitoring.,0.24133333333333332,0.11721916794335871,248.71166666666667,12.46754415806629,28.0,0.0,0.201,-7.667999999999978
M001,2026-08-17 11:21:53,0.194,224.17,28.0,NORMAL,100.0,LOW,STABLE,0,NONE,Continue normal monitoring.,0.22949999999999998,0.09859175083815751,242.57625000000002,15.943644154228567,28.0,0.0,-0.11299999999999999,-27.557000000000016
M001,2026-08-17 11:21:55,0.181,251.179,28.0,NORMAL,100.0,LOW,STABLE,0,NONE,Continue normal monitoring.,0.2198,0.08809483526291424,244.2968,14.333572590251181,28.0,0.0,-0.013000000000000012,27.009000000000015
M001,2026-08-17 11:21:58,0.085,235.47,28.0,NORMAL,100.0,LOW,STABLE,0,NONE,Continue normal monitoring.,0.19733333333333333,0.09610965959083752,242.82566666666665,13.317148428498749,28.0,0.0,-0.09599999999999999,-15.709000000000003
M001,2026-08-17 11:22:00,0.346,232.05,28.0,NORMAL,100.0,LOW,STABLE,0,NONE,Continue normal monitoring.,0.21857142857142858,0.10418710275726252,241.2862857142857,12.820942161353116,28.0,0.0,0.26099999999999995,-3.4199999999999875
M001,2026-08-17 11:22:02,0.079,233.385,28.0,NORMAL,100.0,LOW,STABLE,0,NONE,Continue normal monitoring.,0.201125,0.1083479019508124,240.29862500000002,12.194178200360325,28.0,0.0,-0.26699999999999996,1.3349999999999795
M001,2026-08-17 11:22:04,0.087,271.164,28.0,NORMAL,100.0,LOW,STABLE,0,NONE,Continue normal monitoring.,0.18844444444444444,0.10825445846605015,243.7281111111111,15.361090752648751,28.0,0.0,0.007999999999999993,37.778999999999996
M001,2026-08-17 11:22:06,0.301,250.995,28.0,NORMAL,100.0,LOW,STABLE,0,NONE,Continue normal monitoring.,0.1997,0.10809157640116498,244.45479999999998,14.6637564521813,28.0,0.0,0.214,-20.168999999999983
